Alias	UniprotID	PFAM_domain	E-value_domain	Domain_description	Target_name	From_coordinate	To_coordinate	E-value_full_sequence	c-Evalue_domain	i-Evalue_domain	Description	Target_uniprot
AaFur|Q8L3M2	Q8L3M2	FUR	3.1e-47	Ferric uptake regulator family	AAT82701.1	5	121	4.4e-31	1.9e-34	4.4e-31	 -	Q6A965
AaFur|Q8L3M2	Q8L3M2	FUR	3.1e-47	Ferric uptake regulator family	AAT82701.1	124	132	4.4e-31	0.45	1000.0	 -	Q6A965
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82775.1	43	83	4e-05	9.7e-07	8.9e-05	 -	Q6A8Z1
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83897.1	7	33	0.00012	5.3e-06	0.00049	 -	Q6A5R6
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82432.1	28	60	1.3e-06	3.4e-08	3.1e-06	 -	Q6A9Y4
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83775.1	32	82	2.2e-06	9.3e-08	8.5e-06	 -	Q6A638
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83775.1	127	142	2.2e-06	8.1	750.0	 -	Q6A638
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83775.1	285	297	2.2e-06	5.0	460.0	 -	Q6A638
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82969.1	17	63	1.3e-07	2.4e-09	2.2e-07	 -	Q6A8E6
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT81851.1	25	67	5.1e-05	1.4e-06	0.00013	 -	Q6ABN1
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT81851.1	89	101	5.1e-05	8.8	810.0	 -	Q6ABN1
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83370.1	66	125	3.1e-13	7.1e-15	6.5e-13	 -	Q6A795
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82259.1	1	40	6.2e-06	2.7e-07	2.5e-05	 -	Q6AAF7
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82259.1	60	67	6.2e-06	4.0	370.0	 -	Q6AAF7
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT81844.1	23	68	1.1e-09	3.2e-11	3e-09	 -	Q6ABP0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83921.1	11	56	3.3e-06	9.5e-08	8.8e-06	 -	Q6A5P2
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82281.1	44	54	2.2e-15	2.4	220.0	 -	Q6AAD5
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82281.1	64	124	2.2e-15	1.1e-16	1e-14	 -	Q6AAD5
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83674.1	24	66	0.00049	1.4e-05	0.0013	 -	Q6A6D9
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83674.1	351	372	0.00049	3.4	310.0	 -	Q6A6D9
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82978.1	37	79	2.6e-07	6.6e-09	6.1e-07	 -	Q6A8D7
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82237.1	21	60	7.5e-09	1.9e-10	1.7e-08	 -	Q6AAH9
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82633.1	27	83	6.4e-11	1.1e-12	1e-10	 -	Q6A9D3
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83295.1	32	75	1.2e-09	3.7e-11	3.4e-09	 -	Q6A7H0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83295.1	113	126	1.2e-09	7.9	730.0	 -	Q6A7H0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83295.1	156	168	1.2e-09	6.2	570.0	 -	Q6A7H0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82334.1	97	156	6.6e-09	1.5e-10	1.4e-08	 -	Q6AA82
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82207.1	50	77	4.1e-05	1.2e-06	0.00011	 -	Q6AAK9
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82965.1	86	123	2.8e-06	1.4e-07	1.3e-05	 -	Q6A8F0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82965.1	155	168	2.8e-06	3.1	280.0	 -	Q6A8F0
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT81984.1	180	217	4.7e-05	1.7e-06	0.00016	 -	Q6AB82
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82149.1	16	59	1.2e-07	4.9e-09	4.5e-07	 -	Q6AAR7
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82149.1	173	183	1.2e-07	9.2	850.0	 -	Q6AAR7
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83958.1	54	113	1.6e-10	3.3e-12	3e-10	 -	Q6A5K5
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT84012.1	21	52	0.0001	2.7e-06	0.00024	 -	Q6A5F1
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT83955.1	48	105	3e-12	9e-14	8.3e-12	 -	Q6A5K8
AbsC|Q9L2B5	Q9L2B5	MarR_2	2.4e-11	MarR family	AAT82634.1	22	54	6.6e-06	2e-07	1.8e-05	 -	Q6A9D2
AccR|P32104	P32104	DeoRC	9.7e-49	DeoR C terminal sensor domain	AAT81902.1	77	233	9.8e-48	3.3e-50	1.2e-47	 -	Q6ABG4
AccR|P32104	P32104	HTH_DeoR	6.1e-21	DeoR-like helix-turn-helix domain	AAT81902.1	6	57	3.5e-14	2.7e-16	6.3e-14	 -	Q6ABG4
