identifier_target_name	identifier_target_accession	identifier_target_length	identifier_query_name	identifier_query_accession	identifier_query_length	full_sequence_e-value	full_sequence_score	full_sequence_bias	this_domain_domain_number	this_domain_total_domains	this_domain_e-value	this_domain_i-value	this_domain_score	this_domain_bias	hmm_coord_from	hmm_coord_to	ali_coord_from	ali_coord_to	env_coord_from	env_coord_to	identifier_acc	identifier_query_description
HTH_1	PF00126.30	60	sp|P0A8S1|ARGP_ECOLI	-	297	1.8e-18	66.3	1.4	1	3	2.9e-22	2.8e-18	65.7	0.1	2	60	7	64	6	64	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	sp|P0A8S1|ARGP_ECOLI	-	297	7.9e-12	45.1	1.3	1	1	1.3e-15	1.3e-11	44.4	1.3	8	206	93	288	90	290	0.88	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q8DTU8|Q8DTU8_STRMU	-	302	9e-18	64.1	0.0	1	1	2e-21	1.9e-17	63.1	0.0	1	59	3	61	3	62	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	tr|Q8DTU8|Q8DTU8_STRMU	-	302	3.6e-10	39.7	0.0	1	1	5.1e-14	5e-10	39.2	0.0	36	208	119	298	113	299	0.90	LysR substrate binding domain
LysR_substrate	PF03466.23	209	tr|Q936X4|Q936X4_PSESD	-	322	1.8e-35	122.4	2.8	1	1	3.9e-39	2.5e-35	121.9	2.8	4	206	112	312	109	315	0.97	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q936X4|Q936X4_PSESD	-	322	5.4e-20	71.2	0.1	1	1	2.4e-23	1.6e-19	69.7	0.1	1	60	26	85	26	85	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
Peripla_BP_3	PF13377.9	166	sp|P0ACI3|XYLR_ECOLI	-	392	3.3e-35	121.9	0.1	1	1	1.3e-38	6.2e-35	121.0	0.1	3	166	113	277	111	277	0.93	Periplasmic binding protein-like domain
HTH_18	PF12833.10	81	sp|P0ACI3|XYLR_ECOLI	-	392	1.2e-19	70.4	0.0	2	2	1.5e-22	7.4e-19	67.9	0.0	3	79	309	384	307	385	0.97	Helix-turn-helix domain
LysR_substrate	PF03466.23	209	tr|Q88RS4|Q88RS4_PSEPK	-	295	2.9e-33	115.2	2.6	1	1	4.6e-37	4.5e-33	114.5	2.6	6	208	91	285	88	286	0.96	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q88RS4|Q88RS4_PSEPK	-	295	7.3e-14	51.6	0.4	1	1	1.8e-17	1.7e-13	50.4	0.4	1	60	4	63	4	63	0.98	Bacterial regulatory helix-turn-helix protein, lysR family
HTH_18	PF12833.10	81	sp|P40408|BTR_BACSU	-	529	5.3e-20	71.6	0.3	1	2	4.3e-23	2.8e-19	69.3	0.1	1	80	185	263	185	265	0.96	Helix-turn-helix domain
Peripla_BP_2	PF01497.21	237	sp|P40408|BTR_BACSU	-	529	1e-22	80.9	0.0	1	1	2.6e-26	1.7e-22	80.2	0.0	3	233	271	500	269	503	0.87	Periplasmic binding protein
AraC_binding_2	PF14525.9	173	sp|P07859|XYLS_PSEPU	-	321	1.1e-22	80.8	0.0	1	1	3e-26	1.5e-22	80.3	0.0	2	172	22	193	21	195	0.91	AraC-binding-like domain
HTH_18	PF12833.10	81	sp|P07859|XYLS_PSEPU	-	321	7.3e-21	74.3	0.0	1	1	2.4e-24	1.2e-20	73.7	0.0	1	81	233	315	233	315	0.92	Helix-turn-helix domain
LacI	PF00356.24	46	sp|P0ACP1|CRA_ECOLI	-	334	2.6e-19	68.8	0.8	1	1	1.2e-22	5.8e-19	67.7	0.8	1	46	2	50	2	50	0.98	Bacterial regulatory proteins, lacI family
Peripla_BP_1	PF00532.24	279	sp|P0ACP1|CRA_ECOLI	-	334	4.2e-14	52.8	0.0	1	1	1.1e-17	5.5e-14	52.4	0.0	2	267	62	312	61	327	0.84	Periplasmic binding proteins and sugar binding domain of LacI family
HTH_18	PF12833.10	81	sp|Q02458|URER_PROMH	-	293	6.9e-15	55.2	0.1	1	1	1.1e-18	1.1e-14	54.5	0.1	2	80	191	267	190	268	0.96	Helix-turn-helix domain
ROK	PF00480.23	294	tr|R4NMJ0|R4NMJ0_THEMA	-	381	6.5e-26	91.6	0.0	1	1	3.6e-29	8.8e-26	91.2	0.0	33	269	116	351	87	375	0.83	ROK family
HTH_24	PF13412.9	48	tr|R4NMJ0|R4NMJ0_THEMA	-	381	5e-09	35.7	0.8	1	2	4.3e-12	1.1e-08	34.7	0.1	3	48	13	58	11	58	0.96	Winged helix-turn-helix DNA-binding
Peripla_BP_3	PF13377.9	166	sp|A0A167V873|PTXS_PSEDL	-	340	4.7e-20	72.6	2.9	2	2	4.4e-20	1.1e-16	61.7	0.5	2	166	179	336	178	336	0.91	Periplasmic binding protein-like domain
LacI	PF00356.24	46	sp|A0A167V873|PTXS_PSEDL	-	340	1.2e-16	60.4	0.2	1	2	6.9e-19	1.7e-15	56.6	0.1	1	46	13	59	13	59	0.97	Bacterial regulatory proteins, lacI family
Autoind_bind	PF03472.18	149	tr|F7X1S6|F7X1S6_SINMM	-	246	8e-29	100.2	0.0	1	1	1.1e-32	1.1e-28	99.7	0.0	2	148	19	164	18	165	0.89	Autoinducer binding domain
GerE	PF00196.22	57	tr|F7X1S6|F7X1S6_SINMM	-	246	4.1e-15	55.2	0.1	1	1	7.1e-19	7e-15	54.5	0.1	2	57	184	239	183	239	0.96	Bacterial regulatory proteins, luxR family
ROK	PF00480.23	294	tr|R4NZK7|R4NZK7_THEMA	-	378	3.6e-44	151.5	0.0	1	1	1.7e-47	4.6e-44	151.2	0.0	5	292	86	370	83	372	0.87	ROK family
HTH_24	PF13412.9	48	tr|R4NZK7|R4NZK7_THEMA	-	378	1.1e-09	37.9	1.4	2	2	0.83	2.3e+03	-1.7	0.1	6	19	69	82	68	83	0.85	Winged helix-turn-helix DNA-binding
HTH_24	PF13412.9	48	tr|R4NZK7|R4NZK7_THEMA	-	378	1.1e-09	37.9	1.4	1	2	7e-13	2e-09	37.0	0.1	5	48	13	56	11	56	0.96	Winged helix-turn-helix DNA-binding
HTH_IclR	PF09339.13	52	tr|Q9AH06|Q9AH06_RHOER	-	274	2.2e-11	43.5	4.1	1	2	5.8e-15	2.9e-11	43.1	1.7	1	51	26	76	26	77	0.97	IclR helix-turn-helix domain
HTH_IclR	PF09339.13	52	tr|Q9AH06|Q9AH06_RHOER	-	274	2.2e-11	43.5	4.1	2	2	0.22	1.1e+03	-0.3	0.0	20	36	92	108	89	109	0.86	IclR helix-turn-helix domain
IclR	PF01614.21	128	tr|Q9AH06|Q9AH06_RHOER	-	274	1.5e-05	25.0	0.0	1	1	8.3e-09	4.1e-05	23.6	0.0	58	126	181	249	177	251	0.94	Bacterial transcriptional regulator
Autoind_bind	PF03472.18	149	sp|Q46751|CARR_PECCC	-	244	1.2e-26	93.0	0.0	1	1	3.4e-30	1.6e-26	92.7	0.0	4	148	4	146	2	147	0.95	Autoinducer binding domain
GerE	PF00196.22	57	sp|Q46751|CARR_PECCC	-	244	2.9e-15	55.7	0.1	1	1	1.3e-18	6.2e-15	54.7	0.1	2	57	168	223	167	223	0.96	Bacterial regulatory proteins, luxR family
LysR_substrate	PF03466.23	209	tr|Q6FBG1|Q6FBG1_ACIAD	-	306	4.9e-36	124.2	0.0	1	1	7.4e-40	7.3e-36	123.7	0.0	6	205	97	297	93	300	0.98	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q6FBG1|Q6FBG1_ACIAD	-	306	1.2e-09	38.1	0.0	1	1	2.6e-13	2.5e-09	37.1	0.0	1	53	9	61	9	65	0.95	Bacterial regulatory helix-turn-helix protein, lysR family
LysR_substrate	PF03466.23	209	tr|Q8XRE2|Q8XRE2_RALSO	-	313	2.9e-33	115.2	1.3	1	1	3.9e-37	3.8e-33	114.8	1.3	3	208	92	292	90	293	0.88	LysR substrate binding domain
HTH_1	PF00126.30	60	tr|Q8XRE2|Q8XRE2_RALSO	-	313	1e-20	73.5	2.8	1	2	1.6e-24	1.6e-20	72.9	0.6	3	60	11	68	9	68	0.97	Bacterial regulatory helix-turn-helix protein, lysR family
HTH_18	PF12833.10	81	tr|B6EB34|B6EB34_CITRO	-	276	6.6e-15	55.3	0.0	2	2	3.4e-18	3.3e-14	53.0	0.0	1	78	193	268	193	271	0.95	Helix-turn-helix domain
IclR	PF01614.21	128	sp|P0ACN4|ALLR_ECOLI	-	271	2.7e-42	143.8	0.0	1	1	4.2e-46	4.1e-42	143.2	0.0	3	127	141	263	138	264	0.97	Bacterial transcriptional regulator
HTH_IclR	PF09339.13	52	sp|P0ACN4|ALLR_ECOLI	-	271	1.9e-12	46.9	0.1	1	2	8.5e-16	8.4e-12	44.9	0.0	1	51	23	73	23	74	0.98	IclR helix-turn-helix domain
Autoind_bind	PF03472.18	149	sp|P25084|LASR_PSEAE	-	239	9.5e-38	129.1	0.0	1	1	1.4e-41	1.3e-37	128.6	0.0	4	147	18	160	16	161	0.96	Autoinducer binding domain
GerE	PF00196.22	57	sp|P25084|LASR_PSEAE	-	239	1.8e-22	78.8	0.1	1	1	3.3e-26	3.2e-22	78.0	0.1	2	57	176	231	175	231	0.98	Bacterial regulatory proteins, luxR family
Peripla_BP_3	PF13377.9	166	sp|P0ACP7|PURR_ECOLI	-	341	6.2e-40	137.3	0.0	2	2	4.2e-43	2.1e-39	135.6	0.0	2	166	171	331	171	331	0.94	Periplasmic binding protein-like domain
LacI	PF00356.24	46	sp|P0ACP7|PURR_ECOLI	-	341	3.3e-19	68.5	0.7	1	1	1.3e-22	6.4e-19	67.6	0.7	1	46	3	48	3	48	0.99	Bacterial regulatory proteins, lacI family
LacI	PF00356.24	46	sp|P36673|TRER_ECOLI	-	315	4e-21	74.7	0.1	1	1	2.1e-24	8.3e-21	73.6	0.1	1	46	6	51	6	51	0.99	Bacterial regulatory proteins, lacI family
Peripla_BP_3	PF13377.9	166	sp|P36673|TRER_ECOLI	-	315	1.4e-17	64.6	0.1	1	1	7.5e-21	2.9e-17	63.5	0.1	2	159	168	313	167	315	0.87	Periplasmic binding protein-like domain
GntR	PF00392.24	64	sp|P0A8W0|NANR_ECOLI	-	263	6.8e-21	73.8	0.9	1	1	1.2e-24	1.1e-20	73.1	0.9	1	64	32	95	32	95	0.97	Bacterial regulatory proteins, gntR family
FCD	PF07729.15	125	sp|P0A8W0|NANR_ECOLI	-	263	2.2e-20	73.5	7.1	2	2	2.2e-24	2.2e-20	73.5	7.1	3	124	125	246	123	247	0.94	FCD domain
